* モンスター（以前の形式）  [#de0cefec]

- パラメータについては各モンスターの詳細ページを参照してださい。
- 関連ページ
-- [[モンスター図鑑/最大値]]
-- [[入手方法]]
-- [[覚醒スキル]]

&color(,#eee){ページ内リンク};
[[001>#no001]] - [[101>#no101]] - [[201>#no201]] - [[301>#no301]] - [[401>#no401]] - [[501>#no501]] - [[601>#no601]] - [[701>#no701]] - [[801>#no801]] - [[901>#no901]] - [[1001>#no1001]] - [[1101>#no1101]] - [[1201>#no1201]] - [[1301>#no1301]] - [[1401>#no1401]] - [[1501>#no1501]] - [[1601>#no1601]] - [[1701>#no1701]] - [[1801>#no1801]] - [[1901>#no1901]] - [[2001>#no2001]] - [[2101>#no2101]] - [[2201>#no2201]] - [[2301>#no2301]]

#style(class=enableFilter){{
|~No|~名称			|~☆|~タイプ|~属|~CO|~スキル|~リーダースキル|~最大Lv|h
|184|[[ポポリン>モンスター図鑑/0184]]	|3|強化用|BGCOLOR(#bbf1a6):木|10|攻撃態勢・木|大樹の防壁|1|
|185|[[ドロップス>モンスター図鑑/0185]]	|3|強化用|BGCOLOR(#f1f1a6):光|10|攻撃態勢・光|光の防壁|1|
|186|[[ゴーストリング>モンスター図鑑/0186]]|3|強化用|BGCOLOR(#bba6f1):闇|10|毒の霧|闇の防壁|1|
|187|[[ゼウス>モンスター図鑑/0187]]	|6|神|BGCOLOR(#f1f1a6):光|40|ラース・オブ・ゴッド|パワー・オブ・ゼウス|50(400)|
|188|[[覚醒ゼウス>モンスター図鑑/0188]]	|7|神|BGCOLOR(#f1f1a6):光|50|ラース・オブ・ゴッド|パワー・オブ・ゼウス|99(400)|
|189|[[ヘラ>モンスター図鑑/0189]]	|6|神|BGCOLOR(#bba6f1):闇|25|ギガグラビティ|クイックブースト|50(400)|
|190|[[覚醒ヘラ>モンスター図鑑/0190]]	|7|悪魔/神|BGCOLOR(#bba6f1):闇|30|ギガグラビティ|神の一手|99(400)|
|191|[[パイロデビル>モンスター図鑑/0191]]	|2|攻撃|BGCOLOR(#f1bba6):火|5|ボム|なし|15(150)|
|192|[[パイロデーモン>モンスター図鑑/0192]]|3|攻撃|BGCOLOR(#f1bba6):火|8|ボム|なし|50(150)|
|193|[[フロストデビル>モンスター図鑑/0193]]|2|攻撃|BGCOLOR(#a6f1f1):水|5|ボム|なし|15(150)|
|194|[[フロストデーモン>モンスター図鑑/0194]]|3|攻撃|BGCOLOR(#a6f1f1):水|8|ボム|なし|50(150)|
|195|[[タウロスデビル>モンスター図鑑/0195]]|2|攻撃|BGCOLOR(#bbf1a6):木|5|ボム|なし|15(150)|
|196|[[タウロスデーモン>モンスター図鑑/0196]]|3|攻撃|BGCOLOR(#bbf1a6):木|8|ボム|なし|50(150)|
|197|[[ハーピィデビル>モンスター図鑑/0197]]|2|攻撃|BGCOLOR(#f1f1a6):光|5|ボム|なし|15(150)|
|198|[[ハーピィデーモン>モンスター図鑑/0198]]|3|攻撃|BGCOLOR(#f1f1a6):光|8|ボム|なし|50(150)|
|199|[[ブラッドデビル>モンスター図鑑/0199]]|2|攻撃|BGCOLOR(#bba6f1):闇|5|ボム|なし|15(150)|
|200|[[ブラッドデーモン>モンスター図鑑/0200]]|3|攻撃|BGCOLOR(#bba6f1):闇|8|ボム|なし|50(150)|
|201&aname(no201);|[[紅蓮の女帝・エキドナ>モンスター図鑑/0201]]|5|回復|BGCOLOR(#f1bba6):火|13|威嚇|煉獄|99(400)|
|202|[[大海の歌姫・セイレーン>モンスター図鑑/0202]]|5|回復|BGCOLOR(#a6f1f1):水|13|防御態勢・水|癒しの舞|99(400)|
|203|[[大樹の精霊・アルラウネ>モンスター図鑑/0203]]|5|回復|BGCOLOR(#bbf1a6):木|13|キュアー|癒しの舞|99(400)|
|204|[[天空の使徒・エンジェル>モンスター図鑑/0204]]|5|回復|BGCOLOR(#f1f1a6):光|13|ヒール|癒しの舞|99(400)|
|205|[[常夜の魔女・リリス>モンスター図鑑/0205]]|5|回復/悪魔|BGCOLOR(#bba6f1):闇|13|毒の霧|クイックブースト|99(400)|
|206|[[マーズライトカーバンクル>モンスター図鑑/0206]]	|4|回復|BGCOLOR(#f1bba6):火|8|大回復の光|癒しの祈り|70(150)|
|207|[[マーキュライトカーバンクル>モンスター図鑑/0207]]	|4|回復|BGCOLOR(#a6f1f1):水|8|大回復の光|癒しの祈り|70(150)|
|208|[[アースライトカーバンクル>モンスター図鑑/0208]]	|4|回復|BGCOLOR(#bbf1a6):木|8|大回復の光|癒しの祈り|70(150)|
|209|[[サンライトカーバンクル>モンスター図鑑/0209]]|4|回復|BGCOLOR(#f1f1a6):光|8|大回復の光|癒しの祈り|70(150)|
|210|[[ムーンライトカーバンクル>モンスター図鑑/0210]]	|4|回復|BGCOLOR(#bba6f1):闇|8|大回復の光|癒しの祈り|70(150)|
|211|[[メテオボルケーノドラゴン>モンスター図鑑/0211]]	|5|ドラゴン|BGCOLOR(#f1bba6):火|15|マグマボール|炎の防壁|99(400)|
|212|[[クリスタルオーロラドラゴン>モンスター図鑑/0212]]	|5|ドラゴン|BGCOLOR(#a6f1f1):水|15|ブリザードボール|氷の防壁|99(400)|
|213|[[グラビトンアースドラゴン>モンスター図鑑/0213]]	|5|ドラゴン|BGCOLOR(#bbf1a6):木|15|ガイアボール|大樹の防壁|99(400)|
|214|[[ライトニングホーリードラゴン>モンスター図鑑/0214]]|5|ドラゴン|BGCOLOR(#f1f1a6):光|15|ホーリーボール|光の防壁|99(400)|
|215|[[カオスデビルドラゴン>モンスター図鑑/0215]]|5|ドラゴン/悪魔|BGCOLOR(#bba6f1):闇|15|ヘルボール|闇の防壁|99(400)|
|216|[[緋天龍・エルドラド>モンスター図鑑/0216]]|6|ドラゴン|BGCOLOR(#f1bba6):火|25|フレイムブレス|爆炎の力|99(400)|
|217|[[蒼天龍・ニライカナイ>モンスター図鑑/0217]]|6|ドラゴン|BGCOLOR(#a6f1f1):水|25|スプラッシュブレス|激流の力|99(400)|
|218|[[樹天龍・ホウライ>モンスター図鑑/0218]]|6|ドラゴン|BGCOLOR(#bbf1a6):木|25|ロックブレス|大地の力|99(400)|
|219|[[聖天龍・シャングリラ>モンスター図鑑/0219]]|6|ドラゴン|BGCOLOR(#f1f1a6):光|25|プラズマブレス|閃光の力|99(400)|
|220|[[夜天龍・エリュシオン>モンスター図鑑/0220]]|6|ドラゴン|BGCOLOR(#bba6f1):闇|25|カースブレス|暗黒の力|99(400)|
|221|[[ベルセルク>モンスター図鑑/0221]]	|4|体力|BGCOLOR(#a6f1f1):水|7|攻撃態勢・水|狂戦士の怒り|50(150)|
|222|[[蒼剣の覇王・ジークフリート>モンスター図鑑/0222]]	|5|体力|BGCOLOR(#a6f1f1):水|15|攻撃態勢・水|ドラゴンブラッド|70(400)|
|223|[[ハイランダー>モンスター図鑑/0223]]	|4|バランス|BGCOLOR(#bbf1a6):木|7|攻撃態勢・木|戦士の誓い|50(150)|
|224|[[碧槍の英雄・クーフーリン>モンスター図鑑/0224]]	|5|バランス|BGCOLOR(#bbf1a6):木|15|攻撃態勢・木|スカアハの祈り|70(400)|
|225|[[ワルキューレ>モンスター図鑑/0225]]	|4|回復|BGCOLOR(#f1f1a6):光|6|攻撃態勢・光|戦乙女の誇り|50(150)|
|226|[[白盾の女神・ヴァルキリー>モンスター図鑑/0226]]	|5|回復|BGCOLOR(#f1f1a6):光|15|攻撃態勢・光|ヴァルキリーソウル|70(400)|
|227|[[ドラゴンフルーツ>モンスター図鑑/0227]]|5|進化用|BGCOLOR(#bbf1a6):木|1|なし|なし|1|
|228|[[マスターリング>モンスター図鑑/0228]]|5|体力|BGCOLOR(#f1bba6):火|50|ドロップリフレッシュ|ハイラッキー|99(400)|
|229|[[フェニックスナイト・ホムラ>モンスター図鑑/0229]]	|5|バランス|BGCOLOR(#f1bba6):火|14|ドロップ変化・火|不死鳥の加護|99(300)|
|230|[[フェンリルナイト・カムイ>モンスター図鑑/0230]]	|5|バランス|BGCOLOR(#a6f1f1):水|14|ドロップ変化・水|神狼の咆哮|99(300)|
|231|[[エンシェントドラゴンナイト>モンスター図鑑/0231]]	|5|ドラゴン|BGCOLOR(#bbf1a6):木|14|ドロップ変化・木|龍騎士の怒り|99(300)|
|232|[[天空の騎士・ヴァーチェ>モンスター図鑑/0232]]	|5|神/バランス|BGCOLOR(#f1f1a6):光|14|ドロップ変化・光|神への祈り|99(300)|
|233|[[カオスドラゴンナイト>モンスター図鑑/0233]]	|5|ドラゴン|BGCOLOR(#bba6f1):闇|14|ドロップ変化・闇|龍騎士の誓い|99(300)|
|234|[[神秘の仮面>モンスター図鑑/0234]]	|5|進化用|BGCOLOR(#f1f1a6):光|1|ソーラーレーザー|なし|1|
|235|[[キングゴールドネッキー>モンスター図鑑/0235]]	|5|強化用|BGCOLOR(#f1f1a6):光|1|ファミ通Appの怒り|ファミ通Appの加護|1|
|236|[[シヴァ>モンスター図鑑/0236]]	|5|神|BGCOLOR(#f1bba6):火|20|第三の目|火の魂|50(400)|
|237|[[破壊神・シヴァ>モンスター図鑑/0237]]	|6|神|BGCOLOR(#f1bba6):火|25|第三の目|爆炎の魂|99(400)|
|238|[[ラクシュミー>モンスター図鑑/0238]]	|5|神|BGCOLOR(#a6f1f1):水|20|吸魔の光|水の魂|50(400)|
|239|[[幸運の女神・ラクシュミー>モンスター図鑑/0239]]	|6|神|BGCOLOR(#a6f1f1):水|25|吸魔の光|激流の魂|99(400)|
|240|[[パールヴァティー>モンスター図鑑/0240]]	|5|神|BGCOLOR(#bbf1a6):木|20|防御態勢・木|木の魂|50(400)|
|241|[[金色の女神・パールヴァティー>モンスター図鑑/0241]]	|6|神|BGCOLOR(#bbf1a6):木|25|防御態勢・木|大地の魂|99(400)|
|242|[[インドラ>モンスター図鑑/0242]]	|5|神|BGCOLOR(#f1f1a6):光|20|英龍の守り|龍神の誓い|50(400)|
|243|[[雷霆龍・インドラ>モンスター図鑑/0243]]	|6|神|BGCOLOR(#f1f1a6):光|25|英龍の守り|龍神の祈り|99(400)|
|244|[[ヴリトラ>モンスター図鑑/0244]]	|5|神|BGCOLOR(#bba6f1):闇|20|恨みの一撃|龍神の怒り|50(400)|
|245|[[暗黒龍・ヴリトラ>モンスター図鑑/0245]]	|6|神|BGCOLOR(#bba6f1):闇|25|恨みの一撃|龍神の咆哮|99(400)|
|246|[[ダブルビリット>モンスター図鑑/0246]]	|5|進化用|BGCOLOR(#f1bba6):火|1|なし|なし|1|
|247|[[ダブサファリット>モンスター図鑑/0247]]	|5|進化用|BGCOLOR(#a6f1f1):水|1|なし|なし|1|
|248|[[ダブエメリット>モンスター図鑑/0248]]	|5|進化用|BGCOLOR(#bbf1a6):木|1|なし|なし|1|
|249|[[ダブトパリット>モンスター図鑑/0249]]	|5|進化用|BGCOLOR(#f1f1a6):光|1|なし|なし|1|
|250|[[ダブアメリット>モンスター図鑑/0250]]	|5|進化用|BGCOLOR(#bba6f1):闇|1|なし|なし|1|
|251|[[ダブミスリット>モンスター図鑑/0251]]	|6|進化用|BGCOLOR(#bba6f1):闇|1|イビルノヴァ|なし|1|
|252|[[ルビードラゴン>モンスター図鑑/0252]]	|3|強化用|BGCOLOR(#f1bba6):火|1|なし|なし|1|
|253|[[ハイルビードラゴン>モンスター図鑑/0253]]	|4|強化用|BGCOLOR(#f1bba6):火|1|なし|なし|1|
|254|[[キングルビードラゴン>モンスター図鑑/0254]]	|5|強化用|BGCOLOR(#f1bba6):火|1|龍撃態勢・火|なし|1|
|255|[[サファイアドラゴン>モンスター図鑑/0255]]	|3|強化用|BGCOLOR(#a6f1f1):水|1|なし|なし|1|
|256|[[ハイサファイアドラゴン>モンスター図鑑/0256]]	|4|強化用|BGCOLOR(#a6f1f1):水|1|なし|なし|1|
|257|[[キングサファイアドラゴン>モンスター図鑑/0257]]	|5|強化用|BGCOLOR(#a6f1f1):水|1|龍撃態勢・水|なし|1|
|258|[[エメラルドドラゴン>モンスター図鑑/0258]]	|3|強化用|BGCOLOR(#bbf1a6):木|1|なし|なし|1|
|259|[[ハイエメラルドドラゴン>モンスター図鑑/0259]]	|4|強化用|BGCOLOR(#bbf1a6):木|1|なし|なし|1|
|260|[[キングエメラルドドラゴン>モンスター図鑑/0260]]	|5|強化用|BGCOLOR(#bbf1a6):木|1|龍撃態勢・木|なし|1|
|261|[[超キングメタルドラゴン>モンスター図鑑/0261]]	|6|強化用|BGCOLOR(#bba6f1):闇|1|ダブル攻撃態勢・闇|なし|1|
|262|[[フレイムキメラ>モンスター図鑑/0262]]	|3|攻撃|BGCOLOR(#f1bba6):火|7|ヒートブレス|なし|25(200)|
|263|[[マグマキマイラ>モンスター図鑑/0263]]	|4|攻撃|BGCOLOR(#f1bba6):火|10|マグマブレス|なし|70(200)|
|264|[[バブルキメラ>モンスター図鑑/0264]]	|3|攻撃|BGCOLOR(#a6f1f1):水|7|コールドブレス|なし|25(200)|
|265|[[ディープキマイラ>モンスター図鑑/0265]]	|4|攻撃|BGCOLOR(#a6f1f1):水|10|ブリザードブレス|なし|70(200)|
|266|[[リーフキメラ>モンスター図鑑/0266]]	|3|攻撃|BGCOLOR(#bbf1a6):木|7|ウィンドブレス|なし|25(200)|
|267|[[フラワーキマイラ>モンスター図鑑/0267]]	|4|攻撃|BGCOLOR(#bbf1a6):木|10|ガイアブレス|なし|70(200)|
|268|[[ボルトキメラ>モンスター図鑑/0268]]	|3|攻撃|BGCOLOR(#f1f1a6):光|7|フラッシュブレス|なし|25(200)|
|269|[[サンダーキマイラ>モンスター図鑑/0269]]	|4|攻撃|BGCOLOR(#f1f1a6):光|10|ホーリーブレス|なし|70(200)|
|270|[[ミストキメラ>モンスター図鑑/0270]]	|3|攻撃|BGCOLOR(#bba6f1):闇|7|ダークブレス|なし|25(200)|
|271|[[フォッグキマイラ>モンスター図鑑/0271]]	|4|攻撃|BGCOLOR(#bba6f1):闇|10|ヘルブレス|なし|70(200)|
|272|[[ベビーマッチ>モンスター図鑑/0272]]	|2|攻撃|BGCOLOR(#f1bba6):火|5|なし|太鼓の達人！|15(100)|
|273|[[ベビーマッチプラス>モンスター図鑑/0273]]	|3|攻撃|BGCOLOR(#f1bba6):火|10|クイックボム|太鼓の達人！|50(150)|
|274|[[アクマーメイド>モンスター図鑑/0274]]	|2|回復|BGCOLOR(#a6f1f1):水|5|なし|太鼓の達人！|15(100)|
|275|[[アクマーメイドプラス>モンスター図鑑/0275]]	|3|回復|BGCOLOR(#a6f1f1):水|10|キュアー|太鼓の達人！|50(150)|
|276|[[ごぶがりゴブリン>モンスター図鑑/0276]]	|2|体力|BGCOLOR(#bbf1a6):木|5|なし|太鼓の達人！|15(100)|
|277|[[ごぶがりゴブリンプラス>モンスター図鑑/0277]]	|3|体力|BGCOLOR(#bbf1a6):木|10|鉄壁の構え|太鼓の達人！|50(150)|
|278|[[音符のしにがみ>モンスター図鑑/0278]]	|2|バランス|BGCOLOR(#bba6f1):闇|5|なし|太鼓の達人！|15(100)|
|279|[[音符のしにがみプラス>モンスター図鑑/0279]]	|3|バランス|BGCOLOR(#bba6f1):闇|10|毒の霧|太鼓の達人！|50(150)|
|280|[[どんちゃん>モンスター図鑑/0280]]	|3|回復|BGCOLOR(#f1f1a6):光|5|ヒール|太鼓の達人！|50(100)|
|281|[[勇者どんちゃん>モンスター図鑑/0281]]	|4|回復|BGCOLOR(#f1f1a6):光|10|ヒール|太鼓の達人！|70(150)|
|282|[[勇者どんちゃんプラス>モンスター図鑑/0282]]	|5|回復|BGCOLOR(#f1f1a6):光|15|ヒール|太鼓の達人！|99(300)|
|283|[[砲炎機龍・ベテルギウス>モンスター図鑑/0283]]	|6|ドラゴン/マシン|BGCOLOR(#f1bba6):火|25|ブラストカノン|爆炎の力|99(400)|
|284|[[氷砕機龍・アルデバラン>モンスター図鑑/0284]]	|6|ドラゴン/マシン|BGCOLOR(#a6f1f1):水|25|ブリザードカノン|激流の力|99(400)|
|285|[[旋風機龍・カノープス>モンスター図鑑/0285]]	|6|ドラゴン/マシン|BGCOLOR(#bbf1a6):木|25|トルネードカノン|大地の力|99(400)|
|286|[[皇爪機龍・レグルス>モンスター図鑑/0286]]	|6|ドラゴン/マシン|BGCOLOR(#f1f1a6):光|25|プラズマカノン|閃光の力|99(400)|
|287|[[殲滅機龍・ハダル>モンスター図鑑/0287]]	|6|ドラゴン/マシン|BGCOLOR(#bba6f1):闇|25|グラビティカノン|暗黒の力|99(400)|
|288|[[ドラール>モンスター図鑑/0288]]	|3|ドラゴン|BGCOLOR(#f1bba6):火|5|防御態勢・火|火と木の守り|15(150)|
|289|[[アグドラール>モンスター図鑑/0289]]	|4|ドラゴン|BGCOLOR(#f1bba6):火|10|防御態勢・火|火と木の守り|35(200)|
|290|[[フレアドラール>モンスター図鑑/0290]]	|5|ドラゴン|BGCOLOR(#f1bba6):火|15|防御態勢・火|炎樹の防壁|99(300)|
|291|[[シャードラ>モンスター図鑑/0291]]	|3|ドラゴン|BGCOLOR(#a6f1f1):水|5|防御態勢・水|水と火の守り|15(150)|
|292|[[シャードラン>モンスター図鑑/0292]]	|4|ドラゴン|BGCOLOR(#a6f1f1):水|10|防御態勢・水|水と火の守り|35(200)|
|293|[[メガロドラン>モンスター図鑑/0293]]	|5|ドラゴン|BGCOLOR(#a6f1f1):水|15|防御態勢・水|氷炎の防壁|99(300)|
|294|[[トイトプス>モンスター図鑑/0294]]	|3|ドラゴン|BGCOLOR(#bbf1a6):木|5|防御態勢・木|木と水の守り|15(150)|
|295|[[トイケラトプス>モンスター図鑑/0295]]	|4|ドラゴン|BGCOLOR(#bbf1a6):木|10|防御態勢・木|木と水の守り|35(200)|
|296|[[フォートトイトプス>モンスター図鑑/0296]]	|5|ドラゴン|BGCOLOR(#bbf1a6):木|15|防御態勢・木|樹氷の防壁|99(300)|
|297|[[フェリオ>モンスター図鑑/0297]]	|3|ドラゴン|BGCOLOR(#f1f1a6):光|5|防御態勢・光|光と木の守り|15(150)|
|298|[[フェアリオン>モンスター図鑑/0298]]	|4|ドラゴン|BGCOLOR(#f1f1a6):光|10|防御態勢・光|光と木の守り|35(200)|
|299|[[エンジェリオン>モンスター図鑑/0299]]	|5|ドラゴン|BGCOLOR(#f1f1a6):光|15|防御態勢・光|聖樹の防壁|99(300)|
|300|[[ピエドラ>モンスター図鑑/0300]]	|3|ドラゴン|BGCOLOR(#bba6f1):闇|5|防御態勢・闇|闇と水の守り|15(150)|
|301&aname(no301);|[[ピエドラウン>モンスター図鑑/0301]]	|4|ドラゴン|BGCOLOR(#bba6f1):闇|10|防御態勢・闇|闇と水の守り|35(200)|
|302|[[ドラウンジョーカー>モンスター図鑑/0302]]	|5|ドラゴン/悪魔|BGCOLOR(#bba6f1):闇|15|防御態勢・闇|魔氷の防壁|99(300)|
|303|[[ホノペンドラ>モンスター図鑑/0303]]	|2|強化用|BGCOLOR(#f1bba6):火|4|なし|なし|10(100)|
|304|[[ルビペンドラ>モンスター図鑑/0304]]	|3|強化用|BGCOLOR(#f1bba6):火|5|防御態勢・火|なし|1|
|305|[[ペンペンドラ>モンスター図鑑/0305]]	|2|強化用|BGCOLOR(#a6f1f1):水|4|なし|なし|10(100)|
|306|[[サファペンドラ>モンスター図鑑/0306]]	|3|強化用|BGCOLOR(#a6f1f1):水|5|防御態勢・水|なし|1|
|307|[[ジュペンドラ>モンスター図鑑/0307]]	|2|強化用|BGCOLOR(#bbf1a6):木|4|なし|なし|10(100)|
|308|[[エメペンドラ>モンスター図鑑/0308]]	|3|強化用|BGCOLOR(#bbf1a6):木|5|防御態勢・木|なし|1|
|309|[[超キングゴールドドラゴン>モンスター図鑑/0309]]	|6|強化用|BGCOLOR(#f1f1a6):光|1|ダブル攻撃態勢・光|なし|1|
|310|[[氷のサムライオーガ>モンスター図鑑/0310]]	|4|体力/悪魔|BGCOLOR(#f1bba6):火水|11|フリーズストライク|根性|50(150)|
|311|[[樹のサムライオーガ>モンスター図鑑/0311]]	|4|体力/悪魔|BGCOLOR(#f1bba6):火木|11|ロックストライク|根性|50(150)|
|312|[[炎のアイスオーガ>モンスター図鑑/0312]]	|4|体力/悪魔|BGCOLOR(#a6f1f1):水火|11|フレイムストライク|根性|50(150)|
|313|[[樹のアイスオーガ>モンスター図鑑/0313]]	|4|体力/悪魔|BGCOLOR(#a6f1f1):水木|11|ロックストライク|根性|50(150)|
|314|[[炎のアーマーオーガ>モンスター図鑑/0314]]	|4|体力/悪魔|BGCOLOR(#bbf1a6):木火|11|フレイムストライク|根性|50(150)|
|315|[[氷のアーマーオーガ>モンスター図鑑/0315]]	|4|体力/悪魔|BGCOLOR(#bbf1a6):木水|11|フリーズストライク|根性|50(150)|
|316|[[炎の機神兵・ヨトゥン>モンスター図鑑/0316]]	|5|体力/マシン|BGCOLOR(#f1bba6):火|17|防御の構え|ブレイズカウンター|99(300)|
|317|[[水の機神兵・ミズガルズ>モンスター図鑑/0317]]	|5|体力/マシン|BGCOLOR(#a6f1f1):水|17|防御の構え|フリーズカウンター|99(300)|
|318|[[木の機神兵・アースガル>モンスター図鑑/0318]]	|5|体力/マシン|BGCOLOR(#bbf1a6):木|17|防御の構え|ストーンカウンター|99(300)|
|319|[[マシンゴーレムMk-III>モンスター図鑑/0319]]	|5|体力/マシン|BGCOLOR(#f1f1a6):光|18|アーマーブレイク|ライトニングカウンター|99(300)|
|320|[[ダークゴーレムMk-III>モンスター図鑑/0320]]	|5|体力/マシン|BGCOLOR(#bba6f1):闇|18|アーマーブレイク|ダークネスカウンター|99(300)|
|321|[[虹の番人>モンスター図鑑/0321]]	|6|進化用|BGCOLOR(#bba6f1):闇|25|アーマーブレイク|守りの心得|1|
|322|[[蒼炎星・イフリート>モンスター図鑑/0322]]	|6|ドラゴン/攻撃|BGCOLOR(#f1bba6):火水|20|マグマブレス|蒼炎の星|99(400)|
|323|[[碧炎星・イフリート>モンスター図鑑/0323]]	|6|ドラゴン/バランス|BGCOLOR(#f1bba6):火木|20|マグマブレス|碧炎の星|99(400)|
|324|[[輝炎星・イフリート>モンスター図鑑/0324]]	|6|ドラゴン/回復|BGCOLOR(#f1bba6):火光|20|マグマブレス|輝炎の星|99(400)|
|325|[[黒炎星・イフリート>モンスター図鑑/0325]]	|6|ドラゴン/悪魔|BGCOLOR(#f1bba6):火闇|20|マグマブレス|黒炎の星|99(400)|
|326|[[紅氷星・リヴァイアサン>モンスター図鑑/0326]]	|6|ドラゴン/攻撃|BGCOLOR(#a6f1f1):水火|20|ブリザードブレス|紅氷の星|99(400)|
|327|[[碧氷星・リヴァイアサン>モンスター図鑑/0327]]	|6|ドラゴン/バランス|BGCOLOR(#a6f1f1):水木|20|ブリザードブレス|碧氷の星|99(400)|
|328|[[輝氷星・リヴァイアサン>モンスター図鑑/0328]]	|6|ドラゴン/体力|BGCOLOR(#a6f1f1):水光|20|ブリザードブレス|輝氷の星|99(400)|
|329|[[黒氷星・リヴァイアサン>モンスター図鑑/0329]]	|6|ドラゴン/悪魔|BGCOLOR(#a6f1f1):水闇|20|ブリザードブレス|黒氷の星|99(400)|
|330|[[紅樹星・ファフニール>モンスター図鑑/0330]]	|6|ドラゴン/バランス|BGCOLOR(#bbf1a6):木火|20|ガイアブレス|紅樹の星|99(400)|
|331|[[蒼樹星・ファフニール>モンスター図鑑/0331]]	|6|ドラゴン/体力|BGCOLOR(#bbf1a6):木水|20|ガイアブレス|蒼樹の星|99(400)|
|332|[[輝樹星・ファフニール>モンスター図鑑/0332]]	|6|ドラゴン/回復|BGCOLOR(#bbf1a6):木光|20|ガイアブレス|輝樹の星|99(400)|
|333|[[黒樹星・ファフニール>モンスター図鑑/0333]]	|6|ドラゴン/悪魔|BGCOLOR(#bbf1a6):木闇|20|ガイアブレス|黒樹の星|99(400)|
|334|[[紅光星・神龍>モンスター図鑑/0334]]	|6|ドラゴン/体力|BGCOLOR(#f1f1a6):光火|20|ホーリーブレス|紅光の星|99(400)|
|335|[[蒼光星・神龍>モンスター図鑑/0335]]	|6|ドラゴン/バランス|BGCOLOR(#f1f1a6):光水|20|ホーリーブレス|蒼光の星|99(400)|
|336|[[碧光星・神龍>モンスター図鑑/0336]]	|6|ドラゴン/神|BGCOLOR(#f1f1a6):光木|20|ホーリーブレス|碧光の星|99(400)|
|337|[[黒光星・神龍>モンスター図鑑/0337]]	|6|ドラゴン/悪魔|BGCOLOR(#f1f1a6):光闇|20|ホーリーブレス|黒光の星|99(400)|
|338|[[紅闇星・ティアマット>モンスター図鑑/0338]]	|6|ドラゴン/体力|BGCOLOR(#bba6f1):闇火|20|ヘルブレス|紅闇の星|99(400)|
