* リーダースキル [#e57a0767]

- リーダーと助っ人のモンスターのみ効果を発動する。
|レモンキャンディ		|>|BGCOLOR(#f1f1a6):光|光属性のHPと回復力が1.3倍。|キティヒカりん|&aname(ls1142,full,super){ls1142};|
|&font2(80%){きてぃのりぼん・ひかり};キティのリボン・光		|>|BGCOLOR(#f1f1a6):光|光属性の全パラメータが1.3倍。|キティヒカモリりん|&aname(ls1143,full,super){ls1143};|
|グレープキャンディ		|>|BGCOLOR(#bba6f1):闇|闇属性のHPと回復力が1.3倍。|キティワルりん|&aname(ls1144,full,super){ls1144};|
|&font2(80%){きてぃのりぼん・やみ};キティのリボン・闇		|>|BGCOLOR(#bba6f1):闇|闇属性の全パラメータが1.3倍。|キティワルヒカりん|&aname(ls1145,full,super){ls1145};|
|&font2(80%){ひのそうる};火のソウル		|>|BGCOLOR(#f1bba6):火|火属性の攻撃力が1.5倍。|メラゴン&br;メラバーン|&aname(ls0962,full,super){ls0962};|
|しゃくねつのソウル		|>|BGCOLOR(#f1bba6):火|火属性の攻撃力が2倍。|獄炎龍・インフェルノ&br;裏緋天龍・エルドラド|&aname(ls0964,full,super){ls0964};|
|&font2(80%){みずのそうる};水のソウル		|>|BGCOLOR(#a6f1f1):水|水属性の攻撃力が1.5倍。|ザブゴン|&aname(ls0965,full,super){ls0965};|
|わだつみのソウル		|>|BGCOLOR(#a6f1f1):水|水属性の攻撃力が2倍。|裏蒼天龍・ニライカナイ|&aname(ls1133,full,super){ls1133};|
|&font2(80%){みずのおーら};水のオーラ		|>|BGCOLOR(#a6f1f1):水|水属性のHPが1.5倍。|ザブシャーク|&aname(ls0966,full,super){ls0966};|
|うみのアーマー		|>|BGCOLOR(#a6f1f1):水|水属性のHPと回復力が1.5倍。|嵐海龍・レヴィア|&aname(ls0967,full,super){ls0967};|
|&font2(80%){きのそうる};木のソウル		|>|BGCOLOR(#bbf1a6):木|木属性の攻撃力が1.5倍。|モリゴン|&aname(ls0968,full,super){ls0968};|
|だいちのソウル		|>|BGCOLOR(#bbf1a6):木|木属性の攻撃力が2倍。|裏樹天龍・ホウライ|&aname(ls0971,full,super){ls0971};|
|&font2(80%){きのしーるど};木のシールド		|>|BGCOLOR(#bbf1a6):木|木属性の回復力が1.5倍。|モリガノン|&aname(ls0969,full,super){ls0969};|
|もりのアーマー		|>|BGCOLOR(#bbf1a6):木|木属性のHPと回復力が1.5倍。|重岩龍・ガルムット|&aname(ls0970,full,super){ls0970};|
|せんこうのソウル		|>|BGCOLOR(#f1f1a6):光|光属性の攻撃力が2倍。|裏聖天龍・シャングリラ|&aname(ls1134,full,super){ls1134};|
|あんこくのソウル		|>|BGCOLOR(#bba6f1):闇|闇属性の攻撃力が2倍。|裏夜天龍・エリュシオン|&aname(ls1135,full,super){ls1135};|
|フレイム・ソウル		|>|BGCOLOR(#f1bba6):火|火属性の攻撃力が1.5倍。|フロギスト|&aname(ls1986,full,super){ls1986};|
|&font2(80%){うずまきふぁいやー};渦巻きファイヤー		|>|BGCOLOR(#f1bba6):火|火属性のHPと攻撃力が1.5倍。|ベム・ギスト|&aname(ls1987,full,super){ls1987};|
|&font2(80%){ゆきだまばくげき};雪玉爆撃			|>|BGCOLOR(#a6f1f1):水|水属性の攻撃力が1.5倍。|雪獣イエイエ|&aname(ls1988,full,super){ls1988};|
|コゴ・エール		|>|BGCOLOR(#a6f1f1):水|水属性の攻撃力と回復力が1.5倍。|ゴン・イエイエ|&aname(ls1989,full,super){ls1989};|
|エナジー・シャワー	|>|BGCOLOR(#bbf1a6):木|木属性の攻撃力が1.5倍。|ガードナー・ポーチカ|&aname(ls1990,full,super){ls1990};|
|&font2(80%){ふらわー・えなじー・しゃわー};フラワー・Ｅ・シャワー	|>|BGCOLOR(#bbf1a6):木|木属性の攻撃力と回復力が1.5倍。|ルル・ポーチカ|&aname(ls1991,full,super){ls1991};|
|オイルパニック		|>|BGCOLOR(#bba6f1):闇|闇属性の攻撃力が1.5倍。|ラード|&aname(ls1992,full,super){ls1992};|
|ブーブー・ボンバー	|>|BGCOLOR(#bba6f1):闇|闇属性のHPと攻撃力が1.5倍。|ヘル・ラード|&aname(ls1993,full,super){ls1993};|
|ミリオンダラー		|>|BGCOLOR(#bbf1a6):木|木属性の攻撃力が1.5倍。|弓使い・ゼル|&aname(ls2106,full,super){ls2106};|
|シューティングスター	|>|BGCOLOR(#bbf1a6):木|木属性の攻撃力が2倍。|ハンター・ゼル|&aname(ls2107,full,super){ls2107};|
|クロスファイア		|>|BGCOLOR(#f1f1a6):光|光属性の攻撃力が1.5倍。|エスパー・41号|&aname(ls2108,full,super){ls2108};|
|スターファイア		|>|BGCOLOR(#f1f1a6):光|光属性の攻撃力が2倍。|超人・41号|&aname(ls2109,full,super){ls2109};|
|ブラッディキス		|>|BGCOLOR(#bba6f1):闇|闇属性の攻撃力が1.5倍。|ドラキュラ・イベリ公|&aname(ls2110,full,super){ls2110};|
|スクリューキス		|>|BGCOLOR(#bba6f1):闇|闇属性の攻撃力が2倍。|ナイトスター・イベリ公|&aname(ls2111,full,super){ls2111};|
|&font2(80%){おうごんのつのをへしおるだと？};黄金の角をヘシおるだと？	|>|BGCOLOR(#f1bba6):火|火属性の攻撃力が2倍。|黄金聖闘士・アルデバラン|&aname(ls1440,full,super){ls1440};|
|&font2(80%){こうふくかしか…};降伏か死か…		|>|BGCOLOR(#f1bba6):火|火属性の攻撃力が2倍。|黄金聖闘士・ミロ|&aname(ls1450,full,super){ls1450};|
|&font2(80%){やすらかのねむるのだ};安らかに眠るのだ		|>|BGCOLOR(#a6f1f1):水|水属性の攻撃力が2倍。|黄金聖闘士・カミュ|&aname(ls1454,full,super){ls1454};|
|&font2(80%){ふっしょうしな！};フッ笑止な！		|>|BGCOLOR(#a6f1f1):水|水属性の攻撃力が2倍。|黄金聖闘士・アフロディーテ|&aname(ls1456,full,super){ls1456};|
|&font2(80%){こうかいするぞこぞう!!};後悔するぞ小僧!!		|>|BGCOLOR(#bbf1a6):木|木属性の攻撃力が2倍。|黄金聖闘士・シュラ|&aname(ls1452,full,super){ls1452};|
|&font2(80%){うけろししのきばを};うけろ獅子の牙を		|>|BGCOLOR(#f1f1a6):光|光属性の攻撃力が2倍。|黄金聖闘士・アイオリア|&aname(ls1446,full,super){ls1446};|
|&font2(80%){それがてんばつというものだ};それが天罰というものだ	|>|BGCOLOR(#f1f1a6):光|光属性の攻撃力が2倍。|黄金聖闘士・シャカ|&aname(ls1448,full,super){ls1448};|
|&font2(80%){おうじょうぎわのわるいやつだ！};往生際の悪いヤツだ！	|>|BGCOLOR(#bba6f1):闇|闇属性の攻撃力が2倍。|黄金聖闘士・デスマスク|&aname(ls1444,full,super){ls1444};|
|&font2(80%){いなむら};TUBE			|>|BGCOLOR(#a6f1f1):水|水属性の攻撃力が2倍。|レオル&br;謝債発行機・レオル|&aname(ls1041,full,super){ls1041};|
|&font2(80%){ちょうまがんりき};超魔眼力			|>|BGCOLOR(#bba6f1):闇|闇属性の攻撃力が2倍。|ヴァンP魔|&aname(ls1486,full,super){ls1486};|
|&font2(80%){れっかのむしゃ};烈火の武者		|>|BGCOLOR(#f1bba6):火|火属性の攻撃力が2倍。|真城火牙刀|&aname(ls1982,full,super){ls1982};|
|&font2(80%){たけがみしてんのう};武神四天王		|>|BGCOLOR(#f1bba6):火|火属性の攻撃力が2.5倍。|烈火の火牙刀|&aname(ls1983,full,super){ls1983};|
|&font2(80%){ごうかいっせん};劫火一閃			|>|BGCOLOR(#f1bba6):火|火属性のHPが1.5倍、攻撃力は2.5倍。|鬼炎龍火牙刀|&aname(ls2240,full,super){ls2240};|
|&font2(80%){げんきのちから};元気の力			|>|BGCOLOR(#f1bba6):火|火属性の攻撃力と回復力が2倍。|ハローキティ&br;キティ＆ティラ|&aname(ls1150,full,super){ls1150};|
|&font2(80%){げんきのかつりょく};元気の活力		|>|BGCOLOR(#f1bba6):火|火属性の攻撃力が2.5倍、回復力は2倍。|キティ＆ティラノス|&aname(ls2086,full,super){ls2086};|
|&font2(80%){ゆうきのちから};勇気の力			|>|BGCOLOR(#a6f1f1):水|水属性の攻撃力と回復力が2倍。|けろけろけろっぴ&br;けろっぴ＆プレシィ|&aname(ls1152,full,super){ls1152};|
|&font2(80%){ゆうきのかつりょく};勇気の活力		|>|BGCOLOR(#a6f1f1):水|水属性の攻撃力が2.5倍、回復力は2倍。|けろっぴ＆プレシオス|&aname(ls2087,full,super){ls2087};|
|&font2(80%){やさしさのちから};やさしさの力		|>|BGCOLOR(#bbf1a6):木|木属性の攻撃力と回復力が2倍。|マイメロディ&br;メロディ＆ブラッキィ|&aname(ls1154,full,super){ls1154};|
|&font2(80%){やさしさのかつりょく};やさしさの活力		|>|BGCOLOR(#bbf1a6):木|木属性の攻撃力が2.5倍、回復力は2倍。|メロディ＆ブラキオス|&aname(ls2088,full,super){ls2088};|
|ダクタライズアサルト	|>|BGCOLOR(#bba6f1):闇|闇属性の攻撃力が2.5倍。|鎌士ユカリ|&aname(ls2118,full,super){ls2118};|
|ダクタライズアサルトII	|>|BGCOLOR(#bba6f1):闇|闇属性のHPが1.35倍、攻撃力は2.5倍。|闇鎌士ユカリ|&aname(ls2119,full,super){ls2119};|
|&font2(80%){きそうのやみはぐるま};機操の闇歯車		|>|BGCOLOR(#bba6f1):闇|闇属性の攻撃力が2.5倍。&br;マシンタイプの全パラメータが1.2倍|デウス＝エクス＝マキナ&br;覚醒デウス＝エクス＝マキナ|&aname(ls2233,full,super){ls2233};|
|&font2(80%){せいしんとういつ};精神統一			|>|BGCOLOR(#bbf1a6):木|木属性の攻撃力と回復力が1.5倍。|最強装備・弓使い|&aname(ls0452,full,super){ls0452};|
|&font2(80%){きのいやし};木の癒やし		|>|BGCOLOR(#bbf1a6):木|木属性の攻撃力と回復力が1.5倍。|古の木獣|&aname(ls2114,full,super){ls2114};|
|&font2(80%){たいじゅのいやし};大樹の癒やし		|>|BGCOLOR(#bbf1a6):木|木属性の攻撃力が2倍、回復力は1.5倍。|木牛ガヴナン|&aname(ls2115,full,super){ls2115};|
|&font2(80%){ひのまりょく};火の魔力			|>|BGCOLOR(#f1bba6):火|火属性のHPと攻撃力が1.5倍。|月夜花&br;金色の妖狐・月夜花|&aname(ls1308,full,super){ls1308};|
|&font2(80%){みずのまりょく};水の魔力			|>|BGCOLOR(#a6f1f1):水|水属性のHPと攻撃力が1.5倍。|ハティーベベ&br;暴風の狼牙・ハティー|&aname(ls1310,full,super){ls1310};|
|&font2(80%){きのまりょく};木の魔力			|>|BGCOLOR(#bbf1a6):木|木属性のHPと攻撃力が1.5倍。|ミストレス&br;紫電の女王蜂・ミストレス|&aname(ls1312,full,super){ls1312};|
|ザ・リベレーター		|>|BGCOLOR(#f1f1a6):光|光属性のHPと攻撃力が1.5倍。|ベイン&br;ベイン＋ヴェノム|&aname(ls1055,full,super){ls1055};|
|&font2(80%){とかげか};トカゲ化			|>|BGCOLOR(#bba6f1):闇|闇属性のHPと攻撃力が1.5倍。|ザザン&br;審美的転生注射・ザザン|&aname(ls1045,full,super){ls1045};|
|ダークナイト		|>|BGCOLOR(#bba6f1):闇|闇属性のHPと攻撃力が2倍。|バットマン＋バットラング&br;バットマン＋遠隔クロー|&aname(ls0932,full,super){ls0932};|
|&font2(80%){でぶちょこぼのはね};でぶチョコボの羽		|>|BGCOLOR(#f1f1a6):光|光属性のHPが2.5倍。|きまぐれ召喚・でぶチョコボ|&aname(ls2084,full,super){ls2084};|
|&font2(80%){えんせいごほうじん};炎聖護法陣		|BGCOLOR(#f1bba6):火|BGCOLOR(#f1f1a6):光|火と光属性のHPが2倍。|炎聖騎龍・フォーミュラー|&aname(ls0351,full,super){ls0351};|
|ゴーゴーダンス		|BGCOLOR(#f1bba6):火|BGCOLOR(#f1f1a6):光|火と光属性の攻撃力が2倍。|太鼓神どんちゃん|&aname(ls0606,full,super){ls0606};|
|ドンダフル！		|BGCOLOR(#f1bba6):火|BGCOLOR(#f1f1a6):光|火と光属性のHPと攻撃力が2倍。|太鼓神どんちゃん・極|&aname(ls1554,full,super){ls1554};|
|&font2(80%){りゅうきのいのり};龍姫の祈り		|BGCOLOR(#a6f1f1):水|BGCOLOR(#bbf1a6):木|水と木属性のHPが2倍。|覚醒プラン|&aname(ls0367,full,super){ls0367};|
|りゅうきのいのり		|BGCOLOR(#a6f1f1):水|BGCOLOR(#bbf1a6):木|水と木属性のHPが2倍。|覚醒・ミニぷらん|&aname(ls1935,full,super){ls1935};|
|&font2(80%){りゅうせんきのしゅくふく};龍戦姫の祝福		|BGCOLOR(#a6f1f1):水|BGCOLOR(#bbf1a6):木|水と木属性のHPと攻撃力が2倍。|樹龍戦姫・セイントプラン|&aname(ls1320,full,super){ls1320};|
|&font2(80%){ぜったいてきなおーら};絶対的なオーラ		|BGCOLOR(#f1f1a6):光|BGCOLOR(#bba6f1):闇|光と闇属性のHPと攻撃力が2倍。|王&br;メルエム|&aname(ls1029,full,super){ls1029};|
|&font2(80%){しちこんけんすさのおしちぎょくけいたい};七魂剣スサノオ七玉形態	|BGCOLOR(#f1bba6):火|BGCOLOR(#bba6f1):闇|火と闇属性の攻撃力と回復力が2倍。|神羅魂獣神サイ|&aname(ls1979,full,super){ls1979};|
|&font2(80%){しん・せいりゅうしちしとう「そうきゅう」};真・聖龍七支刀「蒼穹」	|BGCOLOR(#bbf1a6):木|BGCOLOR(#f1f1a6):光|木と光属性の攻撃力と回復力が2倍。|神羅聖龍神サイガ|&aname(ls1981,full,super){ls1981};|
|プシュケ・ネクタール	|BGCOLOR(#f1bba6):火|BGCOLOR(#a6f1f1):水|火と水属性の攻撃力が2倍。|騎迅轟破灼炎王アポロ|&aname(ls0882,full,super){ls0882};|
|&font2(80%){なぞのひーろー};謎のヒーロー		|BGCOLOR(#f1bba6):火|BGCOLOR(#a6f1f1):水|火と水属性の攻撃力が2倍。|AB・ウィングマン&br;AB・突撃・ウィングマン|&aname(ls0960,full,super){ls0960};|
|&font2(80%){しかくのうむをかくにんする};資格ノ有無ヲ確認スル	|BGCOLOR(#f1bba6):火|BGCOLOR(#bbf1a6):木|火と木属性の攻撃力が2倍。|ジャッジゴーレム|&aname(ls1275,full,super){ls1275};|
|&font2(80%){ぞくせいきょうか};属性強化			|BGCOLOR(#a6f1f1):水|BGCOLOR(#bba6f1):闇|水と闇属性の攻撃力が2倍。|最強装備・黒魔道士|&aname(ls0456,full,super){ls0456};|
|&font2(80%){おわりにしてやるぜ!!};終わりにしてやるぜ!!	|>|BGCOLOR(#cccccc):水火|水属性の攻撃力が3倍、火属性の攻撃力が1.2倍。&br;（両方の属性を持つ場合、攻撃力が3.6倍。）|ゴテンクス&br;超サイヤ人・ゴテンクス&br;超サイヤ人3・ゴテンクス|&aname(ls1801,full,super){ls1801};|
|&font2(80%){ひのじゅいん};火の呪印			|>|BGCOLOR(#f1bba6):火|火属性の攻撃力が2.5倍。|赤の魔導書・テウルギア|&aname(ls1749,full,super){ls1749};|
|&font2(80%){まどうのそうじゅいん・ひみず};魔導の双呪印	・火水		|>|BGCOLOR(#cccccc):火水|火属性の攻撃力が2.5倍、水属性の攻撃力が1.4倍。&br;（両方の属性を持つ場合、攻撃力が3.5倍。）|紅輪の魔導姫・テウルギア|&aname(ls1750,full,super){ls1750};|
|&font2(80%){みずのじゅいん};水の呪印			|>|BGCOLOR(#a6f1f1):水|水属性の攻撃力が2.5倍。|青の魔導書・アルス＝パウリナ|&aname(ls1751,full,super){ls1751};|
|&font2(80%){まどうのそうじゅいん・みずき};魔導の双呪印	・水木		|>|BGCOLOR(#cccccc):水木|水属性の攻撃力が2.5倍、木属性の攻撃力が1.4倍。&br;（両方の属性を持つ場合、攻撃力が3.5倍。）|蒼刻の魔導姫・アルス＝パウリナ|&aname(ls1752,full,super){ls1752};|
|&font2(80%){ひかりのじゅいん};木の呪印			|>|BGCOLOR(#bbf1a6):木|木属性の攻撃力が2.5倍。|緑の魔導書・アルマデル|&aname(ls1753,full,super){ls1753};|
|&font2(80%){まどうのそうじゅいん・きひ};魔導の双呪印	・木火		|>|BGCOLOR(#cccccc):木火|木属性の攻撃力が2.5倍、火属性の攻撃力が1.4倍。&br;（両方の属性を持つ場合、攻撃力が3.5倍。）|碧精の魔導姫・アルマデル|&aname(ls1752,full,super){ls1754};|
|&font2(80%){ひかりのじゅいん};光の呪印			|>|BGCOLOR(#f1f1a6):光|光属性の攻撃力が2.5倍。|黄の魔導書・アルス＝ノウァ|&aname(ls1755,full,super){ls1755};|
|&font2(80%){まどうのそうじゅいん・ひかりひ};魔導の双呪印	・光火		|>|BGCOLOR(#cccccc):光火|光属性の攻撃力が2.5倍、火属性の攻撃力が1.4倍。&br;（両方の属性を持つ場合、攻撃力が3.5倍。）|煌灯の魔導姫・アルス＝ノウァ|&aname(ls1756,full,super){ls1756};|
|&font2(80%){やみのじゅいん};闇の呪印			|>|BGCOLOR(#bba6f1):闇|闇属性の攻撃力が2.5倍。|紫の魔導書・ゴエティア|&aname(ls1757,full,super){ls1757};|
|&font2(80%){まどうのそうじゅいん・やみき};魔導の双呪印	・闇木		|>|BGCOLOR(#cccccc):闇木|闇属性の攻撃力が2.5倍、木属性の攻撃力が1.4倍。&br;（両方の属性を持つ場合、攻撃力が3.5倍。）|闇翔の魔導姫・ゴエティア|&aname(ls1758,full,super){ls1758};|
|&font2(80%){はかいしんのてんりょく};破壊神の天力		|>|BGCOLOR(#f1bba6):火|火属性の攻撃力と回復力が1.5倍。&br;4コンボで攻撃力が上昇、6コンボ以上で最大3倍。((4コンボで2倍、1コンボ増すごとに倍率が0.50増加))|覚醒シヴァ|&aname(ls1954,full,super){ls1954};|
|&font2(80%){こううんしんのてんりょく};幸運神の天力		|>|BGCOLOR(#a6f1f1):水|水属性の攻撃力が2.5倍、回復力は1.5倍。&br;回復を4個以上つなげると攻撃力が上昇、最大2.5倍。((ver8.6.1で変更))|覚醒ラクシュミー|&aname(ls1955,full,super){ls1955};|
|&font2(80%){こんじきしんのてんりょく};金色神の天力		|>|BGCOLOR(#bbf1a6):木|木属性の攻撃力が2.5倍、回復力は1.5倍。&br;回復を4個以上つなげると攻撃力が上昇、最大2.5倍。((ver8.6.1で変更))|覚醒パールヴァティー|&aname(ls1956,full,super){ls1956};|
|&font2(80%){かえんそうさ};火炎操作			|>|BGCOLOR(#f1bba6):火|火属性の攻撃力が3倍。|炎鎚のキリコ アナザー|&aname(ls1972,full,super){ls1972};|
|&font2(80%){えんついたぢからのお＜すざく＞};炎鎚タヂカラノオ＜朱雀＞	|>|BGCOLOR(#f1bba6):火光|火属性の攻撃力が3倍。&br;光属性のHPが1.5倍。|光翼聖天キリコ アナザー|&aname(ls1973,full,super){ls1973};|
